Line #	Activity	Description	Performer	ICOM	
22	Perform Toll Gate Review	"DEC OPS Branch Chief and Project Lead performs toll gate review using DDOF checklist questions: 
-What data sources were identified and used for this project?
-How was data governance and security maintained during the data acquisition process?
-What challenges were encountered in ensuring data availability and access, and how were they addressed?"	"DEC OPS Branch Chief
Project Lead"	I:	Step 21: All Requirements Met?
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	Step 23: Log Phase details into DDOF Builder App
				M:	"MS Teams
DDOF Checklist"
23	Log Phase details into DDOF Builder App	Project Lead capture Data Provisioning Details and Artifacts in DDOF Builder App 	Project Lead	I:	Step 22: Perform Toll Gate Review
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	Step 24: Initiate Data Wrangling Phase
				M:	"DDOF Builder App
Data Req. Doc./ Data Source Inventory/ Data Access Plan/ As-Is Process Map/ Data Source Map/ User Stories/ Knowledge Map/ Data & Content Analysis/ Change Management Plan/ SME Interview/ Data Disctrionary/ Data Wireframe/ DUA"
24	Initiate Data Wrangling Phase	DEC OPS Branch Chief and Project Lead initiates Data Wrangling Phase	"DEC OPS Branch Chief
Project Lead"	I:	Step 23: Log Phase details into DDOF Builder App
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	Step 25: Facilitate Development Phase
				M:	"MS Teams/ Vantage/ SPO
Data Req. Doc./ Data Source Inventory/ Data Access Plan/ Data Dictionary/ Data Wireframe/ DUA/ Data Pipeline"
25	Facilitate Development Phase	Project Lead facilitates and coordinate the Data Wrangling phase	Project Lead	I:	Step 24: Initiate Data Wrangling Phase
				C:	DDOF Playbook, DDOF ODT SOP (TBP)
				O:	"Step 26a: Assist and provide guidance
Step 26b: Integrate Data
Step 26c: Conduct comprehensive quality-assurance
Step 26d: Perform Exploratory Data Analysis (EDA)
Step 26e: Assist Data SMEs"
				M:	"MS Teams/ Vantage/ SPO
Data Req. Doc./ Data Source Inventory/ Data Access Plan/ Data Dictionary/ Data Wireframe/ DUA/ Data Pipeline"
